R_growth:	0.00022315 C00234 + 0.51403513 C00041 + 0.00022315 C00019 + 0.295991308 C00062 + 0.241217426 C00152 + 0.241217426 C00049 + 54.16130093 C00002 + 0.005208507 C00076 + 0.005208507 C00698 + 0.000576388 C00010 + 0.000100067 C00175 + 0.133597959 C00063 + 0.000709478 C00070 + 0.091641708 C00097 + 0.026183631 C00131 + 0.027035204 C00458 + 0.027035204 C00286 + 0.026183631 C00459 + 0.00022315 C00016 + 0.006719525 C14818 + 0.007813261 C14819 + 0.26333732 C00064 + 0.26333732 C00025 + 0.613050802 C00037 + 0.215240934 C00044 + 48.63427526 C00001 + 0.094801836 C00135 + 0.290724762 C00407 + 0.195324523 C00238 + 0.01946911 C06025 + 0.450834573 C00123 + 0.343392226 C00047 + 0.153789555 C00073 + 0.008680845 C00305 + 0.00022315 C00143 + 0.000691466 C00034 + 0.000100067 M_mql8_c + 0.013903362 M_murein5px4p_p + 0.001832234 C00003 + 0.000447301 C00006 + 0.139121679 C00350 + 0.185389834 C00079 + 0.00022315 C00032 + 0.221203949 C00148 + 0.00022315 C00018 + 0.00022315 C00255 + 0.215937403 C00065 + 0.00022315 C00748 + 0.004340923 C00059 + 0.00022315 C00101 + 0.00022315 C00068 + 0.253857937 C00188 + 0.056881301 C00078 + 0.137988916 C00082 + 0.144201099 C00075 + 0.423447131 C00183 + 0.00034123 C00038 --> 53.98635213 C00008 + 53.98635213 C00080 + 53.9820112 C00009 + 0.774424465 C00013	[0, 1000]	#True
Glc_import:	--> C00031	[0.1, 1000]	#False
DIFFUSION_SO4:	--> C00059	[-1000, 1000]	#False
DIFFUSION_ca2:	 --> C00076	[-1000, 1000]	#False
DIFFUSION_cl:	 --> C00698	[-1000, 1000]	#False
DIFFUSION_cobalt2:	 --> C00175	[-1000, 1000]	#False
DIFFUSION_cu2:	 --> C00070	[-1000, 1000]	#False
DIFFUSION_fe2:	 --> C14818	[-1000, 1000]	#False
DIFFUSION_fe3:	 --> C14819	[-1000, 1000]	#False
DIFFUSION_k:	 --> C00238	[-1000, 1000]	#False
DIFFUSION_mg2:	 --> C00305	[-1000, 1000]	#False
DIFFUSION_mn2:	 --> C00034	[-1000, 1000]	#False
DIFFUSION_mobd:	 --> C06232	[-1000, 1000]	#False
DIFFUSION_na1:	 --> C01330	[-1000, 1000]	#False
DIFFUSION_ni2:	 --> C19609	[-1000, 1000]	#False
DIFFUSION_zn2:	 --> C00038	[-1000, 1000]	#False
