bigg_id	name
12dgr160_e	1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)
12dgr180_e	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)
12ppd__R_e	(R)-Propane-1,2-diol
12ppd__S_e	(S)-Propane-1,2-diol
13dampp_e	1 3 Diaminopropane C3H12N2
13ppd_e	1,3-Propanediol
14glucan_e	1,4-alpha-D-glucan
15dap_e	1,5-Diaminopentane
1ag160_e	1 Acyl sn glycerol  hexadecanoate
1ag180_e	1 Acyl sn glycerol  octadecanoate
1ag181d9_e	1 Acyl sn glycerol  nC181d9
1ag182d9d12_e	1 Acyl sn glycerol  nC182d9d12
23camp_e	2',3'-Cyclic AMP
23ccmp_e	2',3'-Cyclic CMP
23cgmp_e	2',3'-Cyclic GMP
23cump_e	2',3'-Cyclic UMP
23dappa_e	2,3-diaminopropionate
23dhbzs3_e	2-3-dihydroxybenzoylserine trimer
25dkglcn_e	2,5-diketo-D-gluconate
26dap__M_e	Meso-2,6-Diaminoheptanedioate
2ameph_e	2-Aminoethylphosphonate
2ddglcn_e	2-Dehydro-3-deoxy-D-gluconate
2dhglcn_e	2-Dehydro-D-gluconate
2h3mb_e	2 hydroxy 3 methyl butanoate
2h3mp_e	2 hydroxy 3 methyl pentanoate
2hxmp_e	2  Hydroxymethyl phenol C7H8O2
2m35mdntha_e	N  2 methyl 3 5 dinitrophenyl  4 methyl 3 5 dinitroaniline
2mba_e	2 methyl butanoic acid
2mbald_e	2 methylbutyraldehyde C5H10O
2mpa_e	2 methylpropanoic acid
2obut_e	2-Oxobutanoate
2pg_e	D-Glycerate 2-phosphate
2pglyc_e	2-Phosphoglycolate
34dhbz_e	3,4-Dihydroxybenzoate
34dhcinm_e	3,4-Dihydroxy-trans-cinnamate
34dhpac_e	3,4-Dihydroxyphenylacetaldehyde
34dhphe_e	3,4-Dihydroxy-L-phenylalanine
35dnta_e	N N bis 3 5 dinitrotolyl  amine
3amp_e	3  AMP C10H12N5O7P
3cmp_e	3  CMP C9H12N3O8P
3gmp_e	Guanosine 3  phosphate C10H12N5O8P
3h4atb_e	3 Hydroxy 4 acetylthiobutanoic acid
3hcinnm_e	3-hydroxycinnamic acid
3hoxpac_e	3 Hydroxyphenylacetic acid C8H8O3
3hpppn_e	3-(3-hydroxy-phenyl)propionate
3mb_e	3-Methylbutanoic acid
3mba_e	3 methylbutanoic acid
3oxoadp_e	3-Oxoadipate
3pg_e	3-Phospho-D-glycerate
3ump_e	3  UMP C9H11N2O9P
4abut_e	4-Aminobutanoate
4abutn_e	4-Aminobutanal
4abz_e	4-Aminobenzoate
4abzglu_e	4-aminobenzoyl-glutamate
4ahmmp_e	4-Amino-5-hydroxymethyl-2-methylpyrimidine
4crsol_e	P-Cresol
4hba_e	4-Hydroxy-benzyl alcohol
4hbald_e	4-Hydroxybenzaldehyde
4hbz_e	4-Hydroxybenzoate
4hoxpac_e	4 Hydroxyphenylacetic acid C8H8O3
4hoxpacd_e	4-Hydroxyphenylacetaldehyde
